stringsfile version 1
4179
str_no_string NO_STRING!
str_npc30_kingsupport_2b Kyril_the_Bulgarian_-_kingsupport_2b
str_npc31_kingsupport_2b Ali_the_Berber_-_kingsupport_2b
str_npc1_kingsupport_3 It_is_sad_to_say_that_when_it_comes_to_the_future_of_a_Kingdom_nothing_would_stand_in_the_way_of_a_few_greedy_men_trying_to_snatch_the_throne_in_the_enternal_power_struggle._Therefore_I_think_given_your_respect_for_the_right_of_man_you_would_be_a_better_leader_of_a_united_land_than_all_of_the_current_leaders._So_if_you_give_me_a_few_weeks_I_will_spread_your_stories_of_your_fitness_to_rule_far_and_wide_in_the_Christian_lands._If_that_meets_your_approval?
str_npc2_kingsupport_3 Ligeikis_the_Balt_-_kingsupport_3
str_npc3_kingsupport_3 Anyway,_lord,_in_these_sorry_times_the_men_of_the_great_estates_have_taken_to_blocking_our_passage,_setting_large_armies_for_us_to_battle._It_is_a_great_burden_on_my_people._If_I_could_take_a_few_weeks_to_let_the_men_of_the_steppes_know_that_you_would_support_the_restoration_of_our_ancient_rights,_well,_then,_I_think_you_would_find_many_who_would_support_you_as_khan,_And_when_men_speak_of_you_as_khan,_that's_the_first_step_to_becoming_one.
str_npc4_kingsupport_3 Indeed,_I_should_welcome_the_chance_to_support_your_future_faction_knowing_you_to_be_fair_with_those_that_serve_you_faithfully.__It_is_better_than_the_current_bunch_of_kings_who_seem_to_consider_kingship_to_consist_of_having_someone_killed_daily_for_amusement.__So_I_recommend_giving_me_a_few_weeks_off_and_I_will_visit_every_dockside_tavern_I_can_find_and_tell_tales_about_your_generousity_and_fairness,__and_before_you_know_it_people_will_be_begging_you_to_come_and_take_over_there_land.__If_thats_okay_with_you_Jarl?
str_npc5_kingsupport_3 Bolko_the_Pole_-_kingsupport_3
str_npc6_kingsupport_3 Johann_of_the_HRE_-_kingsupport_3
str_npc7_kingsupport_3 Istvan_the_Hungarian_-_kingsupport_3
str_npc8_kingsupport_3 Yuriy_of_Novgorod_-_kingsupport_3
str_npc9_kingsupport_3 If_you_like,_captain,_I_can_take_a_few_weeks_to_visit_the_public_houses_where_I_have_contacts,_and_explain_to_them_that,_in_you,_they_will_have_a_{king/ruler}_who_will_check_the_rapacious_nobles,_who,_with_their_tariffs_and_wars,_would_strangle_the_populace_out_of_their_sons_and_their_livelihood._What_do_you_say_to_that,_captain?
str_npc10_kingsupport_3 Jean_the_Frenchman_-_kingsupport_3
str_npc11_kingsupport_3 Jon_the_Norwegian_-_kingsupport_3
str_npc12_kingsupport_3 Uilleam_the_Scot_-_kingsupport_3
str_npc13_kingsupport_3 Aedh_the_Irishman_-_kingsupport_3
str_npc14_kingsupport_3 Karl_the_Swede_-_kingsupport_3
str_npc15_kingsupport_3 Ivan_of_Galicia_-_kingsupport_3
str_npc16_kingsupport_3 But_you_know_what?_There_is_no_law_when_it_comes_to_the_crown._Sometimes_one_emperor_handed_the_empire_to_his_son._Sometimes_he_split_it_between_his_generals._Sometimes_one_emperor_murdered_the_last._There's_no_'right'_way_to_crown_a_{king/king_or_queen},_and_thus_it_makes_sense_that_the_crown_should_go_to_the_one_most_fit_to_govern_--_which_would_be_you,_naturally._Give_me_a_couple_of_weeks,_and_I'll_write_a_tract_which_proves_it_and_find_a_copyist_to_post_a_version_in_every_town_tavern_in_the_land._What_do_you_say_to_that_idea,_captain?
str_npc17_kingsupport_3 Jaume_of_Aragon_-_kingsupport_3
str_npc18_kingsupport_3 Fernando_the_Castillan_-_kingsupport_3
str_npc20_kingsupport_3 Isma'il_the_Andalusian_-_kingsupport_3
str_npc22_kingsupport_3 Alexios_the_Greek_-_kingsupport_3
str_npc23_kingsupport_3 Hugues_the_Crusader_-_kingsupport_3
str_npc24_kingsupport_3 Dego_the_Sicilian_-_kingsupport_3
str_npc25_kingsupport_3 Balabaan_the_Seljuk_-_kingsupport_3
str_npc26_kingsupport_3 Gauthier_of_the_Latin_Empire_-_kingsupport_3
str_npc27_kingsupport_3 Taraqai_of_the_Il-khanate_-_kingsupport_3
str_npc28_kingsupport_3 Gamal_the_Arab_-_kingsupport_3
str_npc29_kingsupport_3 Dragoslav_the_Serbian_-_kingsupport_3
str_npc30_kingsupport_3 Kyril_the_Bulgarian_-_kingsupport_3
str_npc31_kingsupport_3 Ali_the_Berber_-_kingsupport_3
str_npc1_kingsupport_objection Leige_I_have_heard_that_you_have_made_Jaume_a_representive_of_your_thoughts_and_wishes_regarding_the_future_of_the_kingdom!_I_never_thought_I_would_see_you_betray_your_values_like_this_in_public._You_insult_all_of_us_who_would_of_seen_you_made_Leader_of_this_land.
str_npc2_kingsupport_objection Ligeikis_the_Balt_-_kingsupport_objection
str_npc3_kingsupport_objection I_overhead_what_you_told_Hugues._But_I_wonder_--_if_the_lords_who_live_from_farming,_and_the_merchants_who_earn_from_trade,_are_allowed_to_determine_what_taxes_will_be_leveed,_then_who_will_be_taxed?_Those_who_live_from_flocks,_of_course_--_my_people,_the_people_of_the_steppes._I_would_have_nothing_to_do_with_these_councils,_all_free_men_should_be_one,_under_the_khan,_and_that_is_the_end_of_it.
str_npc4_kingsupport_objection Jarl!,_why_have_you_made_Ulrich_your_representive_in_this_important_matter_of_your_future_plans?__He_would_have_the_common_people_treat_you_with_no_respect_at_all,_mearly_tolerance!__After_all_that_you,we_together,_have_fought_for_would_you_sell_us_out_so_cheaply_to_grasp_a_throne_in_this_land?
str_npc5_kingsupport_objection Bolko_the_Pole_-_kingsupport_objection
str_npc6_kingsupport_objection {Sir/My_lady}_I_feeL_sending_Martio_off_on_a_mission_to_gather_support_from_the_people_for_your_cause.__I_fear_he_will_do_more_harm_than_good,_promising_the_poor_unrealistic_rewards_and_threatening_the_rich_with_a_system_that_would_undermine_their_wealth.
str_npc7_kingsupport_objection Istvan_the_Hungarian_-_kingsupport_objection
str_npc8_kingsupport_objection Yuriy_of_Novgorod_-_kingsupport_objection
str_npc9_kingsupport_objection Um,_captain._Jean_has_ridden_off_to_tell_the_lords_of_this_land_that_you'll_let_them_settle_their_quarrels_by_force_and_violence._You_know_they_rarely_actually_fight_each_other,_right?_Most_of_the_time,_it's_the_villages_that_get_clobbered_in_their_petty_disputes._Any_excuse_to_pillage_and_loot,_they'll_take._I_really_hope_that_he_misunderstood_you,_sir.
str_npc10_kingsupport_objection Jean_the_Frenchman_-_kingsupport_objection
str_npc11_kingsupport_objection Jon_the_Norwegian_-_kingsupport_objection
str_npc12_kingsupport_objection Uilleam_the_Scot_-_kingsupport_objection
str_npc13_kingsupport_objection Aedh_the_Irishman_-_kingsupport_objection
str_npc14_kingsupport_objection Karl_the_Swede_-_kingsupport_objection
str_npc15_kingsupport_objection Ivan_of_Galicia_-_kingsupport_objection
str_npc16_kingsupport_objection Captain._I_hear_that_you've_gone_and_made_Charlotta,_of_all_people,_some_sort_of_ambassador_to_the_aristocracy._I_shudder_to_think_of_what_that_amoral_girl_might_be_promising_them_on_your_behalf_--_and_dignifying_all_these_gross_indulgences_by_calling_them_'ancient_freedoms.'_By_doing_this,_you_mock_those_of_us_who_who_had_hoped_that_you_would_have_helped_Chritendom_escape_its_bloody_past,_and_move_towards_a_new_age_of_peace_and_learning._Enough,_I_have_said_my_peace.
str_npc17_kingsupport_objection Jaume_of_Aragon_-_kingsupport_objection
str_npc18_kingsupport_objection Fernando_the_Castillan_-_kingsupport_objection
str_npc20_kingsupport_objection Isma'il_the_Andalusian_-_kingsupport_objection
str_npc22_kingsupport_objection Alexios_the_Greek_-_kingsupport_objection
str_npc23_kingsupport_objection Hugues_the_Crusader_-_kingsupport_objection
str_npc24_kingsupport_objection Dego_the_Sicilian_-_kingsupport_objection
str_npc25_kingsupport_objection Balabaan_the_Seljuk_-_kingsupport_objection
str_npc26_kingsupport_objection Gauthier_of_the_Latin_Empire_-_kingsupport_objection
str_npc27_kingsupport_objection Taraqai_of_the_Il-khanate_-_kingsupport_objection
str_npc28_kingsupport_objection Gamal_the_Arab_-_kingsupport_objection
str_npc29_kingsupport_objection Dragoslav_the_Serbian_-_kingsupport_objection
str_npc30_kingsupport_objection Kyril_the_Bulgarian_-_kingsupport_objection
str_npc31_kingsupport_objection Ali_the_Berber_-_kingsupport_objection
str_npc1_intel_mission I_think_that_if_you_want_me_to_take_a_look_around_{s17}_I_could_combine_it_with_a_trip_to_visit_some_of_my_old_Order_freinds._Both_things_would_have_to_be_done_quietly_reputations_need_to_be_maintained_for_my_old_order_freinds,_and_I_am_sure_I_would_not_be_welcomed_with_open_arms._Still_will_be_nice_to_visit_the_old_town_of_{s17}_again.
str_npc2_intel_mission Ligeikis_the_Balt_-_intel_mission
str_npc3_intel_mission If_you_like,_{playername},_I_can_take_a_few_days_to_visit_my_mother's_sister's_people._They_work_in_a_caravanserie_in_{s17},_and_hear_the_news_from_all_across_the_{s18}._They_may_have_some_gossip_about_the_feuds_and_rivaries_of_the_great_lords,_if_that_is_of_interest_to_you
str_npc4_intel_mission Hmmmm_well_Jarl_if_you_want_me_to_take_a_look_around_the_{s17},_I_think_I_could_manage_it_if_you_would_give_me_a_few_weeks.__Infact_it_would_be_rather_nice_to_catch_up_on_the_local_gossip_and_find_out_what_I've_been_missing_while_I_was_away.
str_npc5_intel_mission Bolko_the_Pole_-_intel_mission
str_npc6_intel_mission Indeed_{Sir/My_lady}_I_could_indeed_visit_{s17}_again_to_enhance_our_knowledge_of_the_area.__Could_visit_a_few_of_my_fathers_old_building_comrades_and_find_out_whos_been_strengthing_defenses_and_what_not_in_the_local_area.__Will_let_us_find_the_soft_underbelly_of_the_enemy_{Sir/My_lady}.
str_npc7_intel_mission Istvan_the_Hungarian_-_intel_mission
str_npc8_intel_mission Yuriy_of_Novgorod_-_intel_mission
str_npc9_intel_mission {Sir/My_lady},_if_you're_interested_in_events_in_{s18},_I_can_still_make_contact_with_my_old_trading_partners_in_{s17}._They're_usually_well-informed_about_political_events.
str_npc10_intel_mission Jean_the_Frenchman_-_intel_mission
str_npc11_intel_mission Jon_the_Norwegian_-_intel_mission
str_npc12_intel_mission Uilleam_the_Scot_-_intel_mission
str_npc13_intel_mission Aedh_the_Irishman_-_intel_mission
str_npc14_intel_mission Karl_the_Swede_-_intel_mission
str_npc15_intel_mission Ivan_of_Galicia_-_intel_mission
str_npc16_intel_mission If_you_wish,_Captain,_I_would_not_mind_taking_the_time_to_pay_a_visit_to_a_pupil_of_mine,_now_employed_by_the_lord_of_{s17}._I_had_great_hopes_for_him,_but_I_have_heard_that_he_has_lately_endorsed_the_use_of_muskmelon_for_the_treatment_of_palsy,_on_the_grounds_that_its_cold_essence_offsets_an_abundance_of_yellow_bile._This_is_a_travesty_of_medicine,_and_I_must_journey_there_swiftly_to_correct_him._While_I_am_there,_if_you_wish,_I_could_question_him_on_the_latest_trends_within_the_{s17},_a_matter_which_may_interest_you.
str_npc17_intel_mission Jaume_of_Aragon_-_intel_mission
str_npc18_intel_mission Fernando_the_Castillan_-_intel_mission
str_npc20_intel_mission Isma'il_the_Andalusian_-_intel_mission
str_npc22_intel_mission Alexios_the_Greek_-_intel_mission
str_npc23_intel_mission Hugues_the_Crusader_-_intel_mission
str_npc24_intel_mission Dego_the_Sicilian_-_intel_mission
str_npc25_intel_mission Balabaan_the_Seljuk_-_intel_mission
str_npc26_intel_mission Sir_I_could_perhaps_try_and_sneak_back_into_my_old_city_to_see_what_is_happening_in_that_part_of_the_world.__A_few_people_at_least_should_still_be_friendly_to_me_in_that_town,_and_if_not_well_at_least_I_will_have_had_a_chance_to_revisit_old_memories_and_repay_you_inpart_for_the_kindness_you_once_showed_me.
str_npc27_intel_mission Taraqai_of_the_Il-khanate_-_intel_mission
str_npc28_intel_mission Gamal_the_Arab_-_intel_mission
str_npc29_intel_mission Dragoslav_the_Serbian_-_intel_mission
str_npc30_intel_mission Kyril_the_Bulgarian_-_intel_mission
str_npc31_intel_mission Ali_the_Berber_-_intel_mission
str_npc1_fief_acceptance Certainly,_if_you_grant_me_a_fief_I_turn_it_into_a_paradise_for_the_working_man,_merchant_and_even_the_spoiled_Nobility._All_will_be_treated_equally_as_long_as_they_respect_each_other_as_God_would_want_them_to._Otherwise_his_wrath_shall_rain_down_on_them,_adminstered_by_my_fist...
str_npc2_fief_acceptance Ligeikis_the_Balt_-_fief_acceptance
str_npc3_fief_acceptance I_would_be_most_pleased_to_hold_{s17}._I_will_send_word_to_the_hills,_to_my_kinsmen,_and_let_them_know_that_there_is_honorable_gold_to_be_earned_serving_under_me_in_your_armies_--_and_they_will_come_flocking_to_fight_for_you!
str_npc4_fief_acceptance Jakob_the_Dane_-_fief_acceptance
str_npc5_fief_acceptance Bolko_the_Pole_-_fief_acceptance
str_npc6_fief_acceptance Johann_Lord_of_a_fief?__It_does_have_rather_a_nice_ring_to_it,__although_I_am_not_entirely_sure_how_it_should_be_done.__No_doubt_there_will_be_people_to_advise_me,_and_doubtless_cheat_me,_but_as_you_have_seen_I_learn_fast_{Sir/My_lady}.__Then_they_will_get_there_commupence_and_you_will_get_a_well_managed_fief.
str_npc7_fief_acceptance Istvan_the_Hungarian_-_fief_acceptance
str_npc8_fief_acceptance Yuriy_of_Novgorod_-_fief_acceptance
str_npc9_fief_acceptance {s17}_as_a_fief?_Well,_I've_always_thought_in_terms_of_soldiering,_not_in_terms_of_governing_anything._But_now_that_you_mention_it,_I_bet_I_could_rule_with_balance_and_justice._I_thank_you,_{my_Lord/my_lady}_--_this_is_a_very_kind_turn_that_you_have_done_me.
str_npc10_fief_acceptance Jean_the_Frenchman_-_fief_acceptance
str_npc11_fief_acceptance Jon_the_Norwegian_-_fief_acceptance
str_npc12_fief_acceptance Uilleam_the_Scot_-_fief_acceptance
str_npc13_fief_acceptance Aedh_the_Irishman_-_fief_acceptance
str_npc14_fief_acceptance Karl_the_Swede_-_fief_acceptance
str_npc15_fief_acceptance Ivan_of_Galicia_-_fief_acceptance
str_npc16_fief_acceptance Well,_{sire/my_lady},_I'd_have_you_know_that_don't_believe_in_the_holding_of_land_in_fief_to_the_king._Farmers_and_landholders_should_govern_their_own_affairs,_under_the_distant_watch_of_the_sovereign._That_being_said,_we_has_seen_far_too_much_bloodshed_for_us_to_turn_the_social_order_on_its_head_right_now._Give_me_that_land,_and_I'll_endeavor_to_prepare_it_for_a_brighter_future_--_if_not_in_this_generation,_than_perhaps_in_the_next.
str_npc17_fief_acceptance Jaume_of_Aragon_-_fief_acceptance
str_npc18_fief_acceptance Fernando_the_Castillan_-_fief_acceptance
str_npc20_fief_acceptance Isma'il_the_Andalusian_-_fief_acceptance
str_npc22_fief_acceptance Alexios_the_Greek_-_fief_acceptance
str_npc23_fief_acceptance Hugues_the_Crusader_-_fief_acceptance
str_npc24_fief_acceptance Dego_the_Sicilian_-_fief_acceptance
str_npc25_fief_acceptance Balabaan_the_Seljuk_-_fief_acceptance
str_npc26_fief_acceptance Sir_been_of_noble_linage,_I_would_of_course_rule_any_land_you_gave_me_in_the_fashion_my_father_taught_me.__With_a_firm_hand_any_lord_can_ensure_the_full_production_of_his_estate_allowing_him_to_better_serve_his_king.
str_npc27_fief_acceptance Taraqai_of_the_Il-khanate_-_fief_acceptance
str_npc28_fief_acceptance Gamal_the_Arab_-_fief_acceptance
str_npc29_fief_acceptance Dragoslav_the_Serbian_-_fief_acceptance
str_npc30_fief_acceptance Kyril_the_Bulgarian_-_fief_acceptance
str_npc31_fief_acceptance Ali_the_Berber_-_fief_acceptance
str_npc1_woman_to_woman Ulrich_of_the_Teutonic_Order_-_woman_to_woman
str_npc2_woman_to_woman Ligeikis_the_Balt_-_woman_to_woman
str_npc3_woman_to_woman Kadan_the_Mongol_-_woman_to_woman
str_npc4_woman_to_woman Jakob_the_Dane_-_woman_to_woman
str_npc5_woman_to_woman Bolko_the_Pole_-_woman_to_woman
str_npc6_woman_to_woman Johann_of_the_HRE_-_woman_to_woman
str_npc7_woman_to_woman Istvan_the_Hungarian_-_woman_to_woman
str_npc8_woman_to_woman Yuriy_of_Novgorod_-_woman_to_woman
str_npc9_woman_to_woman Simon_Brewer_the_Englishman_-_woman_to_woman
str_npc10_woman_to_woman Jean_the_Frenchman_-_woman_to_woman
str_npc11_woman_to_woman Jon_the_Norwegian_-_woman_to_woman
str_npc12_woman_to_woman Uilleam_the_Scot_-_woman_to_woman
str_npc13_woman_to_woman Aedh_the_Irishman_-_woman_to_woman
str_npc14_woman_to_woman Karl_the_Swede_-_woman_to_woman
str_npc15_woman_to_woman Ivan_of_Galicia_-_woman_to_woman
str_npc16_woman_to_woman {!}.
str_npc17_woman_to_woman Jaume_of_Aragon_-_woman_to_woman
str_npc18_woman_to_woman Fernando_the_Castillan_-_woman_to_woman
str_npc20_woman_to_woman Isma'il_the_Andalusian_-_woman_to_woman
str_npc22_woman_to_woman Alexios_the_Greek_-_woman_to_woman
str_npc23_woman_to_woman Hugues_the_Crusader_-_woman_to_woman
str_npc24_woman_to_woman Dego_the_Sicilian_-_woman_to_woman
str_npc25_woman_to_woman Balabaan_the_Seljuk_-_woman_to_woman
str_npc26_woman_to_woman Gauthier_of_the_Latin_Empire_-_woman_to_woman
str_npc27_woman_to_woman Taraqai_of_the_Il-khanate_-_woman_to_woman
str_npc28_woman_to_woman Gamal_the_Arab_-_woman_to_woman
str_npc29_woman_to_woman Dragoslav_the_Serbian_-_woman_to_woman
str_npc30_woman_to_woman Kyril_the_Bulgarian_-_woman_to_woman
str_npc31_woman_to_woman Ali_the_Berber_-_woman_to_woman
str_npc1_turn_against A_cruel_twist_of_fates_have_brought_us_here_today._Perhaps_if_you_had_not_turned_your_back_upon_me,_we_would_not_be_facing_off_today_across_this_open_field._I_am_sorry_to_see_that_this_day_has_come_to_pass.
str_npc2_turn_against Ligeikis_the_Balt_-_turn_against
str_npc3_turn_against Oh_{playername}_--_what_a_tragic_turn_our_lives_have_taken!_I_can_only_hope_that_the_tides_of_war_that_have_made_us_enemies,_will_one_day_allow_us_to_be_friends.
str_npc4_turn_against Aye,_well...._I'm_not_sure_what_to_say._If_we_must_fight,_let's_get_it_over_with.
str_npc5_turn_against Bolko_the_Pole_-_turn_against
str_npc6_turn_against You_would_not_let_me_build_my_world_against_yours_claiming_you_needed_space....I_hope_you_will_not_mind_if_my_army_intrudes_into_your_space_today.
str_npc7_turn_against Istvan_the_Hungarian_-_turn_against
str_npc8_turn_against Yuriy_of_Novgorod_-_turn_against
str_npc9_turn_against This_is_a_sad_day._I_never_thought_that_I_might_meet_my_old_captain_on_the_field_of_battle._Even_if_I_triumph,_it_will_bring_me_no_joy.
str_npc10_turn_against Jean_the_Frenchman_-_turn_against
str_npc11_turn_against Jon_the_Norwegian_-_turn_against
str_npc12_turn_against Uilleam_the_Scot_-_turn_against
str_npc13_turn_against Aedh_the_Irishman_-_turn_against
str_npc14_turn_against Karl_the_Swede_-_turn_against
str_npc15_turn_against Ivan_of_Galicia_-_turn_against
str_npc16_turn_against So,_it_seems_we_must_fight._I_would_have_you_know,_{sir/my_lady},_that_I_have_not_betrayed_you._I_had_never_served_you_as_a_man,_but_served_the_principles_which_I_believed_you_upheld._As_you_no_longer_uphold_them,_I_must_do_my_best_to_thwart_you._But_I_bear_you_no_ill_will,_and_I_hope_that_we_can_meet_again_some_day_as_friends.
str_npc17_turn_against Jaume_of_Aragon_-_turn_against
str_npc18_turn_against Fernando_the_Castillan_-_turn_against
str_npc20_turn_against Isma'il_the_Andalusian_-_turn_against
str_npc22_turn_against Alexios_the_Greek_-_turn_against
str_npc23_turn_against Hugues_the_Crusader_-_turn_against
str_npc24_turn_against Dego_the_Sicilian_-_turn_against
str_npc25_turn_against Balabaan_the_Seljuk_-_turn_against
str_npc26_turn_against Had_you_not_betrayed_the_standards_that_your_forefathers_had_set_this_sorry_day_would_never_of_come_to_pass.__Now_let_us_do_combat_to_find_the_one_whos_cause_is_more_just_and_rightous.
str_npc27_turn_against Taraqai_of_the_Il-khanate_-_turn_against
str_npc28_turn_against Gamal_the_Arab_-_turn_against
str_npc29_turn_against Dragoslav_the_Serbian_-_turn_against
str_npc30_turn_against Kyril_the_Bulgarian_-_turn_against
str_npc31_turn_against Ali_the_Berber_-_turn_against
str_comment_intro_liege_affiliated I_am_told_that_you_are_pledged_to_one_of_the_pretenders_who_disputes_my_claim_to_the_crown_of_Europe._But_we_may_still_talk.
str_comment_intro_famous_liege Your_fame_runs_before_you!_Perhaps_it_is_time_that_you_sought_a_liege_worthy_of_your_valor.
str_comment_intro_famous_martial Your_fame_runs_before_you!_Perhaps_we_shall_test_each_other's_valor_in_a_tournament,_or_on_the_battlefield!
str_comment_intro_famous_badtempered I've_heard_of_you._Well,_I'm_not_one_for_bandying_words,_so_if_you_have_anything_to_say,_out_with_it.
str_comment_intro_famous_pitiless I_know_your_name._It_strikes_fear_in_men's_hearts._That_is_good._Perhaps_we_should_speak_together,_some_time.
str_comment_intro_famous_cunning Ah,_yes._At_last_we_meet._You_sound_like_a_good_{man/woman}_to_know._Let_us_speak_together,_from_time_to_time.
str_comment_intro_famous_sadistic I_know_your_name_--_and_from_what_I_hear,_I'll_warrant_that_many_a_grieving_widow_knows_too._But_that_is_no_concern_of_mine.
str_comment_intro_famous_goodnatured I've_heard_of_you!_It's_very_good_to_finally_make_your_acquaintance.
str_comment_intro_famous_upstanding I_know_your_name._They_say_you_are_a_most_valiant_warrior._I_can_only_hope_that_your_honour_and_mercy_matches_your_valor.
str_comment_intro_noble_liege I_see_that_you_carry_a_{nobleman's/noble's}_banner,_although_I_do_not_recognize_the_device._Know_that_I_am_always_looking_for_good_{men/warriors}_to_fight_for_me,_once_they_prove_themselves_to_be_worthy_of_my_trust.
str_comment_intro_noble_martial I_see_that_you_carry_a_nobleman's_banner,_but_I_do_not_recognize_the_device._No_matter_--_a_brave_{man's/warrior's}_home_is_all_the_world,_or_so_they_say!
str_comment_intro_noble_badtempered I_don't_recognize_the_device_on_your_banner._No_doubt_another_foreigner_come_to_our_lands,_as_if_we_didn't_have_so_many_here_already.
str_comment_intro_noble_pitiless I_see_that_you_carry_a_nobleman's_banner,_but_I_do_not_recognize_the_device._Another_vulture_come_to_grow_fat_on_the_leftovers_of_war,_no_doubt!
str_comment_intro_noble_cunning I_see_that_you_carry_a_nobleman's_banner,_but_I_do_not_recognize_the_device._Still,_it_is_always_worthwhile_to_make_the_acquaintance_of_{men/women}_who_may_one_day_prove_themselves_to_be_great_warriors.
str_comment_intro_noble_sadistic I_see_that_you_carry_a_nobleman's_banner,_but_I_do_not_recognize_the_device._Perhaps_you_are_the_bastard_{son/daughter}_of_a_puffed-up_cattle_thief?_Or_perhaps_you_stole_it?
str_comment_intro_noble_goodnatured I_see_that_you_carry_a_nobleman's_banner,_but_I_do_not_recognize_the_device._Forgive_my_ignorance,_{sir/my_lady}!_It_is_good_to_make_your_acquaintance.
str_comment_intro_noble_upstanding I_see_that_you_carry_a_nobleman's_banner,_but_I_do_not_recognize_the_device._No_doubt_you_have_come_to_Europe_in_search_of_wealth_and_glory._If_this_indeed_is_the_case,_then_I_only_ask_that_you_show_mercy_to_those_poor_souls_caught_in_the_path_of_war.
str_comment_intro_common_liege You_may_be_of_common_birth,_but_know_that_I_am_always_looking_for_good_men_to_fight_for_me,_if_they_can_prove_themselves_to_be_worthy_of_my_trust.
str_comment_intro_common_martial Perhaps_you_are_not_of_gentle_birth,_but_even_a_commoner,_be_{he/she}_of_sufficient_valor,_may_make_something_of_{himself/herself}_some_day.
str_comment_intro_common_badtempered Speak_quickly,_if_you_have_anything_to_say,_for_I_have_no_time_to_be_bandying_words_with_common_soldiers_of_fortune.
str_comment_intro_common_pitiless You_have_the_look_of_a_mercenary,_another_vulture_come_to_grow_fat_on_the_misery_of_this_land.
str_comment_intro_common_cunning Well..._I_have_not_heard_of_you,_but_you_have_the_look_of_a_{man/woman}_who_might_make_something_of_{himself/herself},_some_day.
str_comment_intro_common_sadistic Normally_I_cut_the_throats_of_impudent_commoners_who_barge_into_my_presence_uninvited,_but_I_am_in_a_good_mood_today.
str_comment_intro_common_goodnatured Well,_you_look_like_a_good_enough_sort.
str_comment_intro_common_upstanding Peace_to_you,_and_always_remember_to_temper_your_valor_with_mercy,_your_courage_with_honour.
str_comment_intro_female_famous_liege I_have_heard_much_about_you._Some_men_may_fear_a_woman_who_is_versed_in_the_art_of_war,_but_I_for_one_will_not_turn_away_hands_that_can_grip_a_sword,_should_their_owner_be_brave_and_loyal.
str_comment_intro_female_famous_martial I_have_heard_much_about_you._They_say_that_you_are_the_equal_of_even_the_bravest_of_men_in_your_prowess_at_arms._Perhaps_one_day_I_shall_try_my_valor_against_yours,_either_in_a_tournament_or_on_the_battlefield!
str_comment_intro_female_famous_badtempered I've_heard_of_talk_of_you_--_the_woman_who_knows_how_to_fight_like_a_man.
str_comment_intro_female_famous_pitiless I_know_your_name._It_strikes_fear_in_men's_hearts._That_is_good._Perhaps_we_should_speak_together,_some_time.
str_comment_intro_female_famous_cunning Ah,_yes._At_last_we_meet._You_sound_like_a_good_woman_to_know._Let_us_speak_together,_from_time_to_time.
str_comment_intro_female_famous_sadistic I_know_your_name_--_and_from_what_I_hear,_I'll_warrant_that_many_a_grieving_widow_knows_too._But_that_is_no_concern_of_mine.
str_comment_intro_female_famous_goodnatured I've_heard_of_you!_It's_very_good_to_finally_make_your_acquaintance.
str_comment_intro_female_famous_upstanding I_know_your_name._They_say_you_are_a_most_valiant_warrior._I_can_only_hope_that_your_honour_and_mercy_matches_your_valor.
str_comment_intro_female_noble_liege It_is_not_often_that_I_meet_a_woman_who_aspires_to_lead_men_into_battle._But_these_are_dark_and_troubled_times,_and_I_for_one_will_not_turn_away_hands_that_can_grip_a_sword,_should_their_owner_be_brave_and_loyal.
str_comment_intro_female_noble_martial I_do_not_recognize_the_device_on_your_banner,_but_clearly_you_are_a_lady_of_rank._Please_consider_me_your_most_humble_servant.
str_comment_intro_female_noble_badtempered I_don't_recognize_the_device_on_that_banner._Clearly_another_foreigner_come_to_our_lands,_bringing_their_strange_ways.
str_comment_intro_female_noble_pitiless I_see_that_you_carry_a_noble's_banner,_but_I_do_not_recognize_the_device..._You_should_know,_lady,_that_in_Europe_it_is_the_men_to_ride_to_war,_and_if_you_seek_to_overturn_the_natural_order_of_things,_you_will_find_your_fair_head_stuck_on_a_pike_--_like_that_of_any_other_rebel!
str_comment_intro_female_noble_cunning It_is_not_unheard-of_for_a_woman_to_seek_her_fortune_on_the_battlefields_of_Europe,_but_neither_is_it_usual._I_shall_be_most_interested_in_your_progress.
str_comment_intro_female_noble_sadistic You_appear_to_be_of_noble_rank,_but_I_don't_recognize_your_banner._Clearly,_another_foreigner_come_to_our_shores_--_no_doubt_from_a_land_where_men_are_weak,_and_the_women_ride_to_war_in_their_place!
str_comment_intro_female_noble_goodnatured I_see_that_you_carry_a_nobleman's_banner,_but_I_do_not_recognize_the_device._Forgive_my_ignorance,,_my_lady!_It_is_good_to_make_your_acquaintance.
str_comment_intro_female_noble_upstanding It_is_not_every_day_that_we_see_a_woman_caparisoned_for_war._Please_do_not_take_this_amiss,_my_lady,_for_you_have_every_right_to_protect_yourself,_but_I_cannot_pretend_to_be_fully_comfortable_with_your_decision_to_fight_in_battle._I_would_prefer_that_women_be_untouched_by_these_wars,_as_I_believe_the_female_to_be_the_custodian_of_what_little_gentility_and_tenderness_remains_to_us.
str_comment_intro_female_admiring_liege It_is_not_often_that_I_meet_a_woman_who_aspires_to_lead_men_into_battle._But_these_are_dark_and_troubled_times,_and_I_for_one_will_not_turn_away_hands_that_can_grip_a_sword,_should_their_owner_be_brave_and_loyal.
str_comment_intro_female_admiring_martial Greetings,_my_lady._Although_I_see_from_your_demeanor_that_you_are_not_a_conventional_maiden,_I_hope_that_you_are_not_averse_to_a_declaration_of_admiration_from_me,_your_most_humble_servant.
